10122510171280,EURINR 25 Oct 17 95 PE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:EURINR25O1795PE,10,12,1280,EURINR,25,95.0,PE,101200000025,None,0,0.0
10122510171283,USDINR 25 Oct 17 89.375 CE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:USDINR25O1789.375CE,10,12,1283,USDINR,1,89.375,CE,10120000001,None,0,0.0
10122510171286,GBPINR 25 Oct 17 123.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:GBPINR25O17123.75CE,10,12,1286,GBPINR,26,123.75,CE,101200000026,None,0,0.0
10122510171287,USDINR 25 Oct 17 89.375 PE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:USDINR25O1789.375PE,10,12,1287,USDINR,1,89.375,PE,10120000001,None,0,0.0
10122510171289,USDINR 25 Oct 17 94.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:USDINR25O1794.75CE,10,12,1289,USDINR,1,94.75,CE,10120000001,None,0,0.0
10122510171292,GBPINR 25 Oct 17 123.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:GBPINR25O17123.75PE,10,12,1292,GBPINR,26,123.75,PE,101200000026,None,0,0.0
10122510171299,USDINR 25 Oct 17 94.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:USDINR25O1794.75PE,10,12,1299,USDINR,1,94.75,PE,10120000001,None,0,0.0
10122510171310,USDINR 25 Oct 17 89.625 CE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:USDINR25O1789.625CE,10,12,1310,USDINR,1,89.625,CE,10120000001,None,0,0.0
10122510171318,USDINR 25 Oct 17 89.625 PE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:USDINR25O1789.625PE,10,12,1318,USDINR,1,89.625,PE,10120000001,None,0,0.0
10122510171349,JPYINR 25 Oct 17 65.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:JPYINR25O1765.25CE,10,12,1349,JPYINR,27,65.25,CE,101200000027,None,0,0.0
10122510171388,JPYINR 25 Oct 17 65.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:JPYINR25O1765.25PE,10,12,1388,JPYINR,27,65.25,PE,101200000027,None,0,0.0
10122510171423,EURINR 25 Oct 17 110 CE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:EURINR25O17110CE,10,12,1423,EURINR,25,110.0,CE,101200000025,None,0,0.0
10122510171430,EURINR 25 Oct 17 110 PE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:EURINR25O17110PE,10,12,1430,EURINR,25,110.0,PE,101200000025,None,0,0.0
10122510171449,EURINR 25 Oct 17 93.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:EURINR25O1793.5CE,10,12,1449,EURINR,25,93.5,CE,101200000025,None,0,0.0
10122510171502,EURINR 25 Oct 17 93.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:EURINR25O1793.5PE,10,12,1502,EURINR,25,93.5,PE,101200000025,None,0,0.0
10122510171571,EURINR 25 Oct 17 109.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2025-10-10,1760684400,NSE:EURINR25O17109.75CE,10,12,1571,EURINR,25,109.75,CE,101200000025,None,0,0.0
