121000000039,S&P BSE Energy-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:ENERGY-INDEX,12,10,39,ENERGY,39,-1.0,XX,121000000039,None,0,0.0
12100000004,S&P BSE 500-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:500-INDEX,12,10,4,500,4,-1.0,XX,12100000004,None,0,0.0
121000000040,S&P BSE Finance-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:FIN-INDEX,12,10,40,FIN,40,-1.0,XX,121000000040,None,0,0.0
121000000041,S&P BSE Industrials-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:INDSTR-INDEX,12,10,41,INDSTR,41,-1.0,XX,121000000041,None,0,0.0
121000000042,S&P BSE LargeCap-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:LRGCAP-INDEX,12,10,42,LRGCAP,42,-1.0,XX,121000000042,None,0,0.0
121000000043,S&P BSE MidCap Select-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:MIDSEL-INDEX,12,10,43,MIDSEL,43,-1.0,XX,121000000043,None,0,0.0
121000000044,S&P BSE SmallCap Select-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:SMLSEL-INDEX,12,10,44,SMLSEL,44,-1.0,XX,121000000044,None,0,0.0
121000000045,S&P BSE Telecom-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:TELCOM-INDEX,12,10,45,TELCOM,45,-1.0,XX,121000000045,None,0,0.0
121000000046,S&P BSE Utilities-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:UTILS-INDEX,12,10,46,UTILS,46,-1.0,XX,121000000046,None,0,0.0
121000000047,S&P BSE SENSEX 50-INDEX,10,0,0.01,,0915-1530|1815-1915:,2023-09-04,,BSE:SNSX50-INDEX,12,10,47,SENSEX50,47,-1.0,XX,121000000047,None,0,0.0
121000000048,S&P BSE SENSEX Next 50-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:SNXT50-INDEX,12,10,48,SNXT50,48,-1.0,XX,121000000048,None,0,0.0
121000000049,S&P BSE Bharat 22-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:BHRT22-INDEX,12,10,49,BHRT22,49,-1.0,XX,121000000049,None,0,0.0
121000000050,S&P BSE 100 ESG-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:ESG100-INDEX,12,10,50,ESG100,50,-1.0,XX,121000000050,None,0,0.0
1210000000500002,ABB INDIA LIMITED,0,1,0.05,INE117A01022,0915-1530|1815-1915:,2025-11-10,,BSE:ABB-A,12,10,500002,ABB,500002,-1.0,XX,1210000000500002,None,0,0.0
1210000000500003,AEGIS LOGISTICS LTD.,0,1,0.05,INE208C01025,0915-1530|1815-1915:,2025-11-10,,BSE:AEGISLOG-A,12,10,500003,AEGISLOG,500003,-1.0,XX,1210000000500003,None,0,0.0
1210000000500008,Amara Raja Energy & Mobility L,0,1,0.05,INE885A01032,0915-1530|1815-1915:,2025-11-10,,BSE:ARE&M-A,12,10,500008,ARE&M,500008,-1.0,XX,1210000000500008,None,0,0.0
1210000000500009,AMBALAL SARABHAI ENTERPRISES L,50,1,0.01,INE432A01017,0915-1530|1815-1915:,2025-11-10,,BSE:AMBALALSA-X,12,10,500009,AMBALALSA,500009,-1.0,XX,1210000000500009,None,0,0.0
1210000000500012,ANDHRA PETROCHEMICALS LTD.,50,1,0.01,INE714B01016,0915-1530|1815-1915:,2025-11-10,,BSE:ANDHRAPET-X,12,10,500012,ANDHRAPET,500012,-1.0,XX,1210000000500012,None,0,0.0
1210000000500013,ANSAL PROPERTIES & INFRASTRUCT,50,1,0.01,INE436A01026,0915-1530|1815-1915:,2025-11-10,,BSE:ANSALAPI-Z,12,10,500013,ANSALAPI,500013,-1.0,XX,1210000000500013,None,0,0.0
1210000000500014,UTIQUE ENTERPRISES LIMITED,50,1,0.01,INE096A01010,0915-1530|1815-1915:,2025-11-10,,BSE:UTIQUE-X,12,10,500014,UTIQUE,500014,-1.0,XX,1210000000500014,None,0,0.0
1210000000500016,ARUNA HOTELS LTD.,50,1,0.01,INE957C01019,0915-1530|1815-1915:,2025-11-10,,BSE:ARUNAHTEL-X,12,10,500016,ARUNAHTEL,500016,-1.0,XX,1210000000500016,None,0,0.0
1210000000500020,BOMBAY DYEING & MFG.CO.LTD.,0,1,0.05,INE032A01023,0915-1530|1815-1915:,2025-11-10,,BSE:BOMDYEING-A,12,10,500020,BOMDYEING,500020,-1.0,XX,1210000000500020,None,0,0.0
